K,BETA,structures,occ
10,0.1,"['7WK2', '7WVN']","[0.7803542176634388, 0.2196457823365606]"
50,0.1,"['7KDH', '7KDG']","[0.5038415348196854, 0.4961584651803115]"
50,0.1,"['7KDI', '7KDJ']","[0.680032441673921, 0.319967558326077]"
50,0.1,"['7VXI', '7VXE']","[0.6239945401780135, 0.37600545982198674]"
50,0.1,"['7W94', '7W92']","[0.46046052034042345, 0.5395394796595753]"
50,0.1,"['7WEV', '7VX1']","[0.5398005693336382, 0.4601994306663629]"
50,0.1,"['7WK2', '7WVN']","[0.7820673811867802, 0.21793261881321974]"
0.01,1,"['7KDH', '7KDG']","[0.5025821543797964, 0.4974178456202034]"
0.01,1,"['7KDI', '7KDJ']","[0.5062421161307799, 0.49375788386922]"
0.01,1,"['7VXI', '7VXE']","[0.4994597123524084, 0.5005402876475917]"
0.01,1,"['7W94', '7W92']","[0.49868744465286957, 0.5013125553471302]"
0.01,1,"['7WEV', '7VX1']","[0.5013312044296581, 0.49866879557034216]"
0.01,1,"['7WK2', '7WVN']","[0.5143875891701304, 0.48561241082986945]"
0.05,1,"['7KDH', '7KDG']","[0.5082886907680887, 0.49171130923191136]"
0.05,1,"['7KDI', '7KDJ']","[0.5178896997788459, 0.4821103002211541]"
0.05,1,"['7VXI', '7VXE']","[0.4980323334926525, 0.5019676665073474]"
0.05,1,"['7W94', '7W92']","[0.49510032003577964, 0.5048996799642202]"
0.05,1,"['7WEV', '7VX1']","[0.5046824164159166, 0.4953175835840833]"
0.05,1,"['7WK2', '7WVN']","[0.551607516515858, 0.4483924834841418]"
0.1,1,"['7KDH', '7KDG']","[0.5113586466168155, 0.48864135338318443]"
0.1,1,"['7KDI', '7KDJ']","[0.5249603888529598, 0.4750396111470401]"
0.1,1,"['7VXI', '7VXE']","[0.49743664310165014, 0.5025633568983496]"
0.1,1,"['7W94', '7W92']","[0.4930482126560666, 0.5069517873439336]"
0.1,1,"['7WEV', '7VX1']","[0.5068323198089482, 0.493167680191052]"
0.1,1,"['7WK2', '7WVN']","[0.5733914176900792, 0.42660858230992077]"
0.5,1,"['7KDH', '7KDG']","[0.5165182318435404, 0.4834817681564598]"
0.5,1,"['7KDI', '7KDJ']","[0.5361504634075422, 0.46384953659245715]"
0.5,1,"['7VXI', '7VXE']","[0.4958234407416965, 0.5041765592583038]"
0.5,1,"['7W94', '7W92']","[0.48907493298783705, 0.5109250670121628]"
0.5,1,"['7WEV', '7VX1']","[0.5107987293809984, 0.4892012706190015]"
0.5,1,"['7WK2', '7WVN']","[0.6158626334019097, 0.3841373665980903]"
1,1,"['7KDH', '7KDG']","[0.5175444457022164, 0.48245555429778336]"
1,1,"['7KDI', '7KDJ']","[0.5381522661506326, 0.46184773384936695]"
1,1,"['7VXI', '7VXE']","[0.49590305041332294, 0.5040969495866774]"
1,1,"['7W94', '7W92']","[0.48796363338569804, 0.5120363666143013]"
1,1,"['7WEV', '7VX1']","[0.511643412567083, 0.4883565874329172]"
1,1,"['7WK2', '7WVN']","[0.6244130156766803, 0.3755869843233201]"
